vin,back_legroom,body_type,city,daysonmarket,dealer_zip,engine_cylinders,engine_displacement,engine_type,exterior_color,fleet,frame_damaged,franchise_dealer,franchise_make,front_legroom,fuel_tank_volume,fuel_type,has_accidents,height,highway_fuel_economy,horsepower,interior_color,isCab,is_certified,is_cpo,is_new,is_oemcpo,latitude,length,listed_date,listing_color,listing_id,longitude,main_picture_url,major_options,make_name,maximum_seating,mileage,model_name,owner_count,power,price,salvage,savings_amount,seller_rating,sp_id,sp_name,theft_title,torque,transmission,transmission_display,trimId,trim_name,vehicle_damage_category,wheel_system,wheel_system_display,wheelbase,width,year
SALZJ2FX0LH081763,33.8 in,SUV / Crossover,San Juan,179,922,I4,2000,I4,Narvik Black, , ,TRUE,Land Rover,40 in,17.7 gal,Gasoline, ,64.9 in, ,246,Black (Ebony), , , ,TRUE, ,18.4439,172.1 in,3/14/2020,BLACK,268609420,-66.0785,https://static.cargurus.com/images/forsale/2020/05/18/18/53/2020_land_rover_range_rover_evoque-pic-4840738600105688260-152x114.jpeg,['Convenience Package'],Land Rover,5 seats,22,Range Rover Evoque, ,"246 hp @ 5,500 RPM",51885, ,0,3,389227,Land Rover San Juan, ,"269 lb-ft @ 1,400 RPM",A,9-Speed Automatic Overdrive,t85529,P250 S AWD, ,AWD,All-Wheel Drive,105.6 in,82.7 in,2020
SALCP2FX8LH854709,38.1 in,SUV / Crossover,San Juan,230,922,I4,2000,I4,Santorini Black, , ,TRUE,Land Rover,39.1 in,17.7 gal,Gasoline, ,68 in, ,246,Black (Ebony), , , ,TRUE, ,18.4439,181 in,1/23/2020,BLACK,263868330,-66.0785,https://static.cargurus.com/images/forsale/2020/05/18/18/53/2020_land_rover_discovery_sport-pic-1059067303743162028-152x114.jpeg,"['Navigation System', 'Adaptive Cruise Control']",Land Rover,7 seats,8,Discovery Sport, ,"246 hp @ 5,500 RPM",53770, ,0,3,389227,Land Rover San Juan, ,"269 lb-ft @ 1,400 RPM",A,9-Speed Automatic Overdrive,t86761,SE AWD, ,AWD,All-Wheel Drive,107.9 in,85.6 in,2020
WDDSJ4GB2HN495908,27.1 in,Sedan,Bronx,34,10466,I4,2000,I4,White,FALSE,FALSE,TRUE,Jeep,40.2 in,14.8 gal,Gasoline,TRUE,56.6 in, ,208,Black,FALSE, , ,FALSE, ,40.8847,182.3 in,8/6/2020,WHITE,278527409,-73.8317,https://static.cargurus.com/images/forsale/2020/08/24/18/14/2017_mercedes-benz_cla-class-pic-6624767092706951625-152x114.jpeg,"['Leather Seats', 'Sunroof/Moonroof', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Heated Seats']",Mercedes-Benz,5 seats,17935,CLA-Class,1,"208 hp @ 5,500 RPM",23000,FALSE,1307,2.8,62178,Eastchester Chrysler Jeep Dodge Ram,FALSE,"258 lb-ft @ 1,250 RPM",A,7-Speed Automatic,t68378,CLA 250 4MATIC, ,AWD,All-Wheel Drive,106.3 in,80 in,2017
1C4NJDEB3GD550171,39.4 in,SUV / Crossover,Bay Shore,24,11706,I4,2400,I4,Bright White Clearcoat,FALSE,FALSE,TRUE,Chevrolet,40.6 in,13.5 gal,Gasoline,FALSE,65 in,26,172,Dark Slate Gray,FALSE, , ,FALSE, ,40.7333,175.1 in,8/16/2020,WHITE,279531620,-73.2587,https://static.cargurus.com/images/forsale/2020/08/28/12/21/2016_jeep_compass-pic-8778228317077736845-152x114.jpeg,"['Leather Seats', 'Sunroof/Moonroof', 'Power Package', 'Adaptive Cruise Control', 'Bluetooth', 'Premium Wheels', 'Backup Camera', 'Remote Start', 'Off Road Package', 'Heated Seats', 'Quick Order Package']",Jeep,5 seats,53743,Compass,2,"172 hp @ 6,000 RPM",13959,FALSE,1338,3.447761194,314501,Atlantic Chevrolet Cadillac,FALSE,"165 lb-ft @ 4,400 RPM",A,6-Speed Automatic,t58902,High Altitude Edition 4WD, ,4WD,Four-Wheel Drive,103.7 in,71.4 in,2016
3MZBPAEM8KM105274,35.1 in,Sedan,Bayamon,447,960,I4,2500,I4,Soul Red Crystal, , ,TRUE,Jeep,42.3 in,13.2 gal,Gasoline, ,56.9 in, ,186,Black, , , ,TRUE, ,18.3988,183.5 in,6/20/2019,RED,244110441,-66.1582,https://static.cargurus.com/images/forsale/2019/03/09/17/19/2019_mazda_mazda3-pic-5405522620808938421-152x114.jpeg,"['Leather Seats', 'Sunroof/Moonroof', 'Adaptive Cruise Control', 'Alloy Wheels', 'Bluetooth', 'Backup Camera']",Mazda,5 seats,19,MAZDA3, ,"186 hp @ 6,000 RPM",32195, ,0,2.8,370599,Flagship Chrysler, ,"186 lb-ft @ 4,000 RPM",A,6-Speed Automatic Overdrive,t85264,Premium Sedan FWD, ,FWD,Front-Wheel Drive,107.3 in,70.7 in,2019
SALCJ2FX9LH835698,38.1 in,SUV / Crossover,San Juan,334,922,I4,2000,I4,Blanco,FALSE,FALSE,TRUE,Land Rover,39.1 in,17.7 gal,Gasoline,FALSE,68 in, ,246,Black (Ebony),FALSE, , ,FALSE, ,18.4439,181 in,10/11/2019,WHITE,254868751,-66.0785,https://static.cargurus.com/images/forsale/2020/05/18/22/57/2020_land_rover_discovery_sport-pic-481170799346495334-152x114.jpeg,"['Leather Seats', 'Navigation System', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start']",Land Rover,7 seats, ,Discovery Sport, ,"246 hp @ 5,500 RPM",59499,FALSE,0,3,389227,Land Rover San Juan,FALSE,"269 lb-ft @ 1,400 RPM",A,9-Speed Automatic Overdrive,t86759,S AWD, ,AWD,All-Wheel Drive,107.9 in,85.6 in,2020
3G1BF6SM9HS532435,36.1 in,Hatchback,Bay Shore,27,11706,I4,1400,I4,Pepperdust Metallic,FALSE,FALSE,TRUE,Chevrolet,42 in,13.7 gal,Gasoline,FALSE,57.7 in,37,153,Jet Black,FALSE, ,TRUE,FALSE,TRUE,40.7333,175.3 in,8/13/2020,UNKNOWN,279129188,-73.2587,https://static.cargurus.com/images/forsale/2020/08/15/23/06/2017_chevrolet_cruze-pic-6799630882698755551-152x114.jpeg,"['Leather Seats', 'Sunroof/Moonroof', 'Power Package', 'Driver Confidence Package', 'Navigation System', 'Adaptive Cruise Control', 'RS Package', 'Preferred Package', 'Technology Package', 'Premium Wheels', 'Blind Spot Monitoring', 'Parking Sensors', 'Heat Package', 'Heated Seats', 'Android Auto', 'CarPlay', 'SE Package', 'Appearance Package', 'Security Package', 'Audio Package', 'Bluetooth', 'Backup Camera', 'Remote Start', 'Convenience Package']",Chevrolet,5 seats,38097,Cruze,1,"153 hp @ 5,600 RPM",14824,FALSE,1846,3.447761194,314501,Atlantic Chevrolet Cadillac,FALSE, ,A,6-Speed Automatic,t68159,Premier Hatchback FWD, ,FWD,Front-Wheel Drive,106.3 in,70.5 in,2017
1GNKRGKD8HJ199237,36.8 in,SUV / Crossover,Bay Shore,18,11706,V6,3600,V6,Tungsten Metallic,FALSE,FALSE,TRUE,Chevrolet,41.3 in,22 gal,Gasoline,FALSE,69.9 in,22,281,Black (Ebony),FALSE, ,TRUE,FALSE,TRUE,40.7333,203.7 in,8/22/2020,GRAY,280096673,-73.2587,https://static.cargurus.com/images/forsale/2020/09/05/00/51/2017_chevrolet_traverse-pic-33725445009669387-152x114.jpeg,"['Power Package', 'Navigation System', 'Preferred Package', 'Technology Package', 'Third Row Seating', 'Premium Wheels', 'Trailer Package', 'Heat Package', 'Parking Sensors', 'Heated Seats', 'Tow Package', 'Acoustical Package', 'LT Package', 'Bluetooth', 'Backup Camera', 'Remote Start', 'Cargo Package', 'Convenience Package']",Chevrolet,8 seats,59216,Traverse,1,"281 hp @ 6,300 RPM",19629,FALSE,1634,3.447761194,314501,Atlantic Chevrolet Cadillac,FALSE,"266 lb-ft @ 3,400 RPM",A,6-Speed Automatic,t67377,1LT FWD, ,FWD,Front-Wheel Drive,118.9 in,78.5 in,2017
3MZBPAEMXKM109763,35.1 in,Sedan,Bayamon,438,960,I4,2500,I4,MACHINE GRAY, , ,TRUE,Jeep,42.3 in,13.2 gal,Gasoline, ,56.9 in, ,186,Black, , , ,TRUE, ,18.3988,183.5 in,6/29/2019,GRAY,244955514,-66.1582,https://static.cargurus.com/images/forsale/2019/03/09/17/19/2019_mazda_mazda3-pic-2527906968295894598-152x114.jpeg,"['Leather Seats', 'Sunroof/Moonroof', 'Adaptive Cruise Control', 'Alloy Wheels', 'Bluetooth', 'Backup Camera']",Mazda,5 seats,15,MAZDA3, ,"186 hp @ 6,000 RPM",32195, ,0,2.8,370599,Flagship Chrysler, ,"186 lb-ft @ 4,000 RPM",A,6-Speed Automatic Overdrive,t85264,Premium Sedan FWD, ,FWD,Front-Wheel Drive,107.3 in,70.7 in,2019
SALWR2RY1LA745996,37 in,SUV / Crossover,San Juan,5,922,I4,2000,I4,Byron Blue, , ,TRUE,Land Rover,39.5 in,24.1 gal,Gasoline, ,71 in, ,398,Blue (Ebony/Ebony/Ebony/Ebony), , , ,TRUE, ,18.4439,192.1 in,9/4/2020,BLUE,281290573,-66.0785,https://static.cargurus.com/images/forsale/2020/09/04/01/43/2020_land_rover_range_rover_sport-pic-1709272211117432666-152x114.jpeg,"['Adaptive Cruise Control', 'Backup Camera', 'Blind Spot Monitoring', 'Parking Sensors', 'Multi Zone Climate Control']",Land Rover,5 seats,11,Range Rover Sport, ,"398 hp @ 5,500 RPM",93985, ,0,3,389227,Land Rover San Juan, ,"472 lb-ft @ 1,500 RPM",A,8-Speed Automatic Overdrive,t86692,Hybrid Plug-in HSE 4WD, ,AWD,All-Wheel Drive,115.1 in,87.4 in,2020
